"TOA5","2739","CR6","2739","CR6.Std.05.01","CPU:prog_jan_2018.CR6","16155","Table1"
"TIMESTAMP","RECORD","arahangin","kecangin_Avg","suhuudara_Avg","Humiditas_Avg","Tekanan_Avg","Hujan","HAmount_Avg","BattV_Avg","PTemp_C_Avg"
"TS","RN","Degrees","kilometers/hour","Deg C","%","kPa","mm","hits/cm^2","Volts","Deg C"
"","","Smp","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg"
"2020-02-10 00:00:00",1095750,102,25.55,10.74,91.9,74.33,392.7,7999,12.17,16.26
"2020-02-10 00:01:00",1095751,96,24.11,10.8,91.9,74.33,392.7,7999,12.17,16.25
"2020-02-10 00:02:00",1095752,90,25.17,10.8,91.9,74.33,392.7,7999,12.16,16.25
"2020-02-10 00:03:00",1095753,88,25.53,10.8,91.9,74.33,392.7,7999,12.16,16.25
"2020-02-10 00:04:00",1095754,81,26.23,10.8,91.9,74.33,392.7,7999,12.17,16.25
"2020-02-10 00:05:00",1095755,81,25.91,10.84,91.9,74.32,392.7,7999,12.17,16.24
"2020-02-10 00:06:00",1095756,88,28.82,10.9,91.9,74.33,392.7,7999,12.16,16.24
"2020-02-10 00:07:00",1095757,88,26.41,10.86,91.9,74.32,392.7,7999,12.15,16.24
"2020-02-10 00:08:00",1095758,84,31.78,10.8,91.9,74.33,392.8,7999,12.15,16.24
"2020-02-10 00:09:00",1095759,84,29.73,10.8,91.9,74.32,392.8,7999,12.15,16.24
"2020-02-10 00:10:00",1095760,86,26.1,10.8,91.9,74.32,392.8,7999,12.16,16.23
"2020-02-10 00:11:00",1095761,82,25.79,10.8,91.9,74.32,392.9,7999,12.16,16.23
"2020-02-10 00:12:00",1095762,68,23.72,10.8,91.9,74.32,392.9,7999,12.16,16.23
"2020-02-10 00:13:00",1095763,84,27.35,10.8,91.9,74.32,393,7999,12.15,16.23
"2020-02-10 00:14:00",1095764,84,28.75,10.76,91.9,74.31,393,7999,12.16,16.23
"2020-02-10 00:15:00",1095765,86,27.62,10.7,91.9,74.32,393.1,7999,12.16,16.22
"2020-02-10 00:16:00",1095766,81,29.65,10.7,91.9,74.31,393.1,7999,12.16,16.22
"2020-02-10 00:17:00",1095767,83,27.79,10.7,91.9,74.31,393.2,7999,12.15,16.22
"2020-02-10 00:18:00",1095768,88,26.35,10.7,91.9,74.31,393.2,7999,12.15,16.22
"2020-02-10 00:19:00",1095769,104,30.2,10.7,91.9,74.31,393.2,7999,12.16,16.22
"2020-02-10 00:20:00",1095770,87,29.2,10.7,91.9,74.3,393.2,7999,12.16,16.21
"2020-02-10 00:21:00",1095771,89,30.27,10.7,91.9,74.29,393.2,7999,12.16,16.21
"2020-02-10 00:22:00",1095772,92,29.1,10.7,91.9,74.29,393.3,7999,12.16,16.21
"2020-02-10 00:23:00",1095773,89,28.39,10.7,91.9,74.3,393.3,7999,12.15,16.21
"2020-02-10 00:24:00",1095774,92,29.58,10.7,91.9,74.29,393.3,7999,12.16,16.2
"2020-02-10 00:25:00",1095775,94,30.45,10.7,91.9,74.28,393.3,7999,12.16,16.2
"2020-02-10 00:26:00",1095776,87,28.18,10.7,91.9,74.28,393.3,7999,12.15,16.2
"2020-02-10 00:27:00",1095777,84,29.57,10.7,91.9,74.28,393.3,7999,12.14,16.2
"2020-02-10 00:28:00",1095778,89,30.7,10.7,91.9,74.28,393.3,7999,12.14,16.2
"2020-02-10 00:29:00",1095779,73,32.93,10.7,91.9,74.28,393.3,7999,12.15,16.19
"2020-02-10 00:30:00",1095780,90,31.38,10.74,91.9,74.28,393.4,7999,12.15,16.19
"2020-02-10 00:31:00",1095781,94,31.97,10.76,91.9,74.28,393.4,7999,12.15,16.19
"2020-02-10 00:32:00",1095782,100,32.09,10.7,91.9,74.27,393.4,7999,12.14,16.19
"2020-02-10 00:33:00",1095783,93,33.67,10.7,91.9,74.27,393.4,7999,12.14,16.18
"2020-02-10 00:34:00",1095784,89,29.89,10.7,91.9,74.27,393.4,7999,12.15,16.18
"2020-02-10 00:35:00",1095785,74,31.94,10.7,91.9,74.27,393.5,7999,12.14,16.18
"2020-02-10 00:36:00",1095786,75,27.23,10.7,91.9,74.27,393.5,7999,12.14,16.18
"2020-02-10 00:37:00",1095787,82,31.54,10.7,91.9,74.27,393.5,7999,12.14,16.17
"2020-02-10 00:38:00",1095788,86,30.18,10.7,91.9,74.27,393.5,7999,12.13,16.17
"2020-02-10 00:39:00",1095789,88,29.77,10.7,91.9,74.27,393.5,7999,12.14,16.17
"2020-02-10 00:40:00",1095790,75,30.53,10.7,91.9,74.27,393.5,7999,12.14,16.17
"2020-02-10 00:41:00",1095791,87,28.78,10.7,91.9,74.27,393.5,7999,12.14,16.17
"2020-02-10 00:42:00",1095792,86,30.14,10.7,91.9,74.27,393.5,7999,12.14,16.16
"2020-02-10 00:43:00",1095793,78,27.14,10.7,91.9,74.27,393.5,7999,12.12,16.16
"2020-02-10 00:44:00",1095794,80,31.74,10.7,91.9,74.27,393.5,7999,12.14,16.16
